Category: All categories

Day,cough: (Utah),pneumonia: (Alabama),Shortness of breath: (Alabama),fever: (Alabama),cough: (Alabama)
2020-01-01,22,14,5,33,33
2020-01-02,37,20,4,37,26
2020-01-03,53,11,4,34,34
2020-01-04,40,12,5,33,40
2020-01-05,34,21,5,31,47
2020-01-06,16,17,4,34,27
2020-01-07,32,17,8,27,27
2020-01-08,8,17,0,37,33
2020-01-09,30,21,4,41,29
2020-01-10,39,10,6,29,23
2020-01-11,37,11,4,28,28
2020-01-12,9,14,9,46,32
2020-01-13,23,7,7,35,18
2020-01-14,24,17,0,25,24
2020-01-15,24,25,4,51,27
2020-01-16,44,20,0,32,36
2020-01-17,25,23,4,30,15
2020-01-18,32,16,5,35,30
2020-01-19,50,14,0,40,23
2020-01-20,26,4,6,26,24
2020-01-21,40,14,4,45,35
2020-01-22,35,14,4,43,35
2020-01-23,34,18,4,32,36
2020-01-24,35,25,0,39,29
2020-01-25,25,12,5,34,26
2020-01-26,32,18,4,42,35
2020-01-27,36,31,11,55,40
2020-01-28,31,29,4,39,29
2020-01-29,35,11,5,26,44
2020-01-30,24,21,5,60,21
2020-01-31,41,38,0,38,32
2020-02-01,50,18,4,43,12
2020-02-02,24,14,0,52,27
2020-02-03,40,25,3,62,42
2020-02-04,29,22,9,41,38
2020-02-05,30,21,0,40,30
2020-02-06,35,21,3,42,36
2020-02-07,43,19,3,43,29
2020-02-08,46,23,11,29,29
2020-02-09,48,15,7,40,31
2020-02-10,36,20,3,43,18
2020-02-11,31,21,6,30,26
2020-02-12,49,9,6,32,40
2020-02-13,24,14,6,36,37
2020-02-14,19,15,3,32,26
2020-02-15,34,18,4,43,47
2020-02-16,37,9,0,61,39
2020-02-17,28,23,0,53,19
2020-02-18,41,16,3,36,28
2020-02-19,20,27,4,57,32
2020-02-20,59,13,9,34,34
2020-02-21,23,22,4,52,18
2020-02-22,24,23,5,32,14
2020-02-23,38,9,0,41,30
2020-02-24,25,15,4,42,28
2020-02-25,42,17,10,50,21
2020-02-26,34,34,7,39,30
2020-02-27,30,28,4,47,34
2020-02-28,31,14,4,31,31
2020-02-29,38,9,7,41,46
2020-03-01,32,12,5,60,42
2020-03-02,20,18,0,52,24
2020-03-03,42,27,0,49,29
2020-03-04,27,16,0,43,52
2020-03-05,38,9,7,51,36
2020-03-06,39,12,0,33,27
2020-03-07,44,14,5,35,30
2020-03-08,55,16,0,58,51
2020-03-09,37,33,4,50,48
2020-03-10,39,29,4,62,37
2020-03-11,37,27,4,54,29
2020-03-12,43,28,8,62,36
2020-03-13,47,33,10,52,41
2020-03-14,58,28,14,63,54
2020-03-15,76,27,14,75,36
2020-03-16,67,33,6,81,57
2020-03-17,76,25,8,100,53
2020-03-18,22,34,6,100,72
2020-03-19,53,18,10,87,48
2020-03-20,34,19,11,93,59
2020-03-21,55,35,4,95,50
2020-03-22,23,20,11,68,50
2020-03-23,41,42,11,89,49
2020-03-24,57,33,12,63,40
2020-03-25,52,19,8,78,35
2020-03-26,52,31,10,69,47
2020-03-27,46,15,11,77,53
2020-03-28,24,11,6,80,48
2020-03-29,35,13,9,70,26
2020-03-30,32,27,13,77,38
2020-03-31,46,15,7,73,44
2020-04-01,31,25,4,76,34
2020-04-02,29,19,11,65,55
2020-04-03,23,17,8,55,44
2020-04-04,24,15,26,30,22
2020-04-05,16,13,4,55,26
