Category: All categories

Day,cough: (Utah),pneumonia: (Arkansas),Shortness of breath: (Arkansas),fever: (Arkansas),cough: (Arkansas)
2020-01-01,6,16,0,31,23
2020-01-02,35,0,0,7,14
2020-01-03,49,34,0,47,61
2020-01-04,27,22,0,30,30
2020-01-05,22,23,0,23,38
2020-01-06,19,13,7,20,13
2020-01-07,19,26,0,46,52
2020-01-08,5,13,7,7,72
2020-01-09,28,6,0,38,44
2020-01-10,29,19,0,25,19
2020-01-11,33,7,0,21,36
2020-01-12,5,36,0,36,7
2020-01-13,13,12,0,29,12
2020-01-14,21,27,0,11,22
2020-01-15,18,6,0,42,54
2020-01-16,38,31,0,31,0
2020-01-17,20,0,0,25,32
2020-01-18,45,0,0,52,52
2020-01-19,44,37,0,37,22
2020-01-20,30,7,0,27,40
2020-01-21,33,0,0,31,31
2020-01-22,28,18,0,60,18
2020-01-23,23,6,0,30,6
2020-01-24,33,6,0,43,12
2020-01-25,16,15,0,38,30
2020-01-26,30,0,0,43,36
2020-01-27,27,6,6,35,23
2020-01-28,27,18,12,67,67
2020-01-29,19,19,6,37,31
2020-01-30,28,31,0,38,25
2020-01-31,53,6,0,38,13
2020-02-01,55,8,8,46,46
2020-02-02,16,15,0,68,60
2020-02-03,30,6,11,45,17
2020-02-04,33,12,0,35,41
2020-02-05,28,12,12,53,30
2020-02-06,42,18,0,43,24
2020-02-07,24,6,0,31,18
2020-02-08,38,23,0,30,53
2020-02-09,45,8,8,15,23
2020-02-10,32,24,0,42,24
2020-02-11,23,12,0,36,54
2020-02-12,32,30,6,30,24
2020-02-13,28,6,6,31,18
2020-02-14,14,13,0,26,19
2020-02-15,22,15,0,37,15
2020-02-16,43,7,7,30,67
2020-02-17,20,13,0,51,51
2020-02-18,31,11,0,57,17
2020-02-19,22,12,0,47,53
2020-02-20,36,12,6,23,6
2020-02-21,27,18,0,12,31
2020-02-22,16,0,0,15,7
2020-02-23,31,0,0,29,21
2020-02-24,27,17,6,52,41
2020-02-25,61,12,6,60,24
2020-02-26,34,6,0,22,28
2020-02-27,26,17,0,41,17
2020-02-28,27,0,0,30,18
2020-02-29,46,30,0,45,37
2020-03-01,26,44,7,44,29
2020-03-02,17,23,0,45,11
2020-03-03,39,17,6,40,6
2020-03-04,39,22,0,51,45
2020-03-05,31,24,12,18,30
2020-03-06,23,12,0,36,24
2020-03-07,41,8,0,23,30
2020-03-08,51,7,0,30,37
2020-03-09,30,22,6,11,55
2020-03-10,17,23,0,41,23
2020-03-11,17,23,6,57,46
2020-03-12,37,39,6,100,22
2020-03-13,26,6,12,77,47
2020-03-14,41,49,7,91,49
2020-03-15,81,20,7,68,14
2020-03-16,57,11,0,91,74
2020-03-17,56,6,6,63,46
2020-03-18,11,29,0,81,64
2020-03-19,40,6,11,96,45
2020-03-20,32,39,11,68,28
2020-03-21,48,48,7,69,41
2020-03-22,25,13,0,47,60
2020-03-23,42,23,11,51,45
2020-03-24,48,24,6,86,43
2020-03-25,47,63,0,44,38
2020-03-26,68,13,13,51,19
2020-03-27,50,6,6,42,59
2020-03-28,18,13,7,52,52
2020-03-29,39,14,7,69,21
2020-03-30,32,11,6,78,56
2020-03-31,36,11,6,45,33
2020-04-01,28,11,6,40,23
2020-04-02,32,17,0,73,22
2020-04-03,25,6,0,39,22
2020-04-04,28,13,0,44,19
2020-04-05,14,7,13,66,33
