Category: All categories

Day,cough: (Utah),pneumonia: (Arizona),Shortness of breath: (Arizona),fever: (Arizona),cough: (Arizona)
2020-01-01,6,5,0,19,36
2020-01-02,36,24,0,32,44
2020-01-03,51,29,2,29,41
2020-01-04,28,5,0,33,23
2020-01-05,23,13,5,38,38
2020-01-06,20,16,2,45,38
2020-01-07,20,26,0,32,30
2020-01-08,5,30,5,37,25
2020-01-09,30,21,0,32,23
2020-01-10,31,25,2,39,25
2020-01-11,34,10,0,31,43
2020-01-12,6,13,3,38,28
2020-01-13,14,15,4,33,38
2020-01-14,22,14,4,48,42
2020-01-15,19,13,4,45,30
2020-01-16,40,14,0,32,38
2020-01-17,20,9,0,39,34
2020-01-18,47,18,5,49,28
2020-01-19,46,7,7,47,42
2020-01-20,32,5,2,19,21
2020-01-21,35,28,4,24,36
2020-01-22,29,9,2,55,38
2020-01-23,24,20,0,27,36
2020-01-24,35,11,2,43,25
2020-01-25,17,18,3,67,28
2020-01-26,32,19,0,26,38
2020-01-27,28,27,0,31,44
2020-01-28,28,18,0,42,15
2020-01-29,19,7,2,53,22
2020-01-30,29,16,0,34,38
2020-01-31,55,25,2,43,27
2020-02-01,57,10,0,28,33
2020-02-02,17,10,2,32,27
2020-02-03,31,8,6,40,18
2020-02-04,34,9,11,37,15
2020-02-05,30,20,0,22,40
2020-02-06,44,16,2,36,29
2020-02-07,25,9,0,47,36
2020-02-08,40,16,5,54,26
2020-02-09,47,15,8,74,36
2020-02-10,33,27,0,36,29
2020-02-11,24,25,4,50,27
2020-02-12,33,13,0,35,39
2020-02-13,29,18,2,31,18
2020-02-14,15,23,0,36,27
2020-02-15,23,8,0,44,23
2020-02-16,45,7,0,40,33
2020-02-17,21,14,2,50,34
2020-02-18,33,19,4,36,28
2020-02-19,23,11,2,40,38
2020-02-20,38,19,2,40,30
2020-02-21,28,15,2,50,48
2020-02-22,16,12,2,37,19
2020-02-23,32,17,0,28,26
2020-02-24,28,13,2,36,34
2020-02-25,63,17,4,34,34
2020-02-26,36,10,4,56,31
2020-02-27,27,21,0,36,36
2020-02-28,28,17,0,38,45
2020-02-29,48,29,0,54,39
2020-03-01,27,19,2,43,36
2020-03-02,18,12,0,31,33
2020-03-03,41,17,2,48,43
2020-03-04,40,21,0,50,31
2020-03-05,32,15,2,28,30
2020-03-06,24,13,0,41,45
2020-03-07,43,12,2,46,31
2020-03-08,53,22,2,55,31
2020-03-09,31,11,2,47,24
2020-03-10,18,24,0,30,32
2020-03-11,18,13,4,48,61
2020-03-12,38,28,8,52,38
2020-03-13,27,35,0,50,58
2020-03-14,42,22,5,55,51
2020-03-15,84,22,7,70,32
2020-03-16,59,29,15,78,46
2020-03-17,58,25,8,91,58
2020-03-18,11,29,2,100,41
2020-03-19,42,17,0,67,38
2020-03-20,34,16,6,45,39
2020-03-21,50,25,7,69,63
2020-03-22,26,30,5,46,51
2020-03-23,44,38,0,58,42
2020-03-24,50,21,14,72,39
2020-03-25,49,29,10,98,61
2020-03-26,70,28,10,63,55
2020-03-27,52,19,6,47,29
2020-03-28,19,14,2,48,39
2020-03-29,40,25,7,67,34
2020-03-30,33,17,4,65,31
2020-03-31,37,12,2,53,31
2020-04-01,29,14,14,83,31
2020-04-02,33,8,10,51,39
2020-04-03,26,26,8,58,36
2020-04-04,29,22,9,47,31
2020-04-05,15,22,11,38,18
