Category: All categories

Day,cough: (Utah),covid - 19: (Arkansas),coronavirus: (Arkansas),mask: (Arkansas),quarantine: (Arkansas)
2020-01-01,<1,0,0,1,0
2020-01-02,1,0,0,1,0
2020-01-03,1,0,0,<1,0
2020-01-04,1,0,0,1,0
2020-01-05,1,0,0,1,0
2020-01-06,<1,0,0,1,0
2020-01-07,1,0,0,<1,0
2020-01-08,<1,0,0,1,0
2020-01-09,<1,0,0,1,0
2020-01-10,1,0,0,1,0
2020-01-11,1,0,0,1,0
2020-01-12,1,0,0,1,0
2020-01-13,<1,0,0,1,0
2020-01-14,<1,0,0,1,0
2020-01-15,1,0,0,1,<1
2020-01-16,<1,0,0,<1,0
2020-01-17,1,0,0,<1,<1
2020-01-18,1,0,<1,<1,0
2020-01-19,<1,0,<1,1,0
2020-01-20,1,0,1,1,0
2020-01-21,1,0,3,1,0
2020-01-22,1,0,2,1,<1
2020-01-23,1,0,3,1,<1
2020-01-24,1,0,8,1,<1
2020-01-25,1,0,5,1,0
2020-01-26,1,0,7,1,<1
2020-01-27,1,0,8,1,0
2020-01-28,1,0,8,1,<1
2020-01-29,1,0,9,1,0
2020-01-30,<1,0,20,2,<1
2020-01-31,1,0,12,1,<1
2020-02-01,1,0,7,1,0
2020-02-02,<1,0,6,1,<1
2020-02-03,1,0,5,1,0
2020-02-04,1,0,3,1,<1
2020-02-05,1,0,3,1,0
2020-02-06,1,0,4,1,<1
2020-02-07,1,0,4,1,<1
2020-02-08,1,0,4,<1,0
2020-02-09,<1,0,5,1,<1
2020-02-10,1,0,4,1,<1
2020-02-11,1,0,4,1,<1
2020-02-12,1,0,3,1,0
2020-02-13,1,<1,4,1,<1
2020-02-14,1,0,4,1,0
2020-02-15,1,0,3,1,<1
2020-02-16,1,0,3,1,<1
2020-02-17,1,0,3,1,0
2020-02-18,<1,<1,3,1,<1
2020-02-19,1,0,2,1,<1
2020-02-20,1,0,2,1,0
2020-02-21,<1,0,3,1,<1
2020-02-22,1,0,2,1,<1
2020-02-23,1,0,3,<1,0
2020-02-24,1,<1,4,1,0
2020-02-25,<1,0,8,1,<1
2020-02-26,1,<1,13,2,<1
2020-02-27,1,<1,13,3,<1
2020-02-28,1,<1,12,2,<1
2020-02-29,1,<1,14,2,<1
2020-03-01,1,0,11,2,<1
2020-03-02,<1,<1,14,2,<1
2020-03-03,<1,<1,13,1,<1
2020-03-04,<1,<1,13,1,<1
2020-03-05,1,<1,15,1,<1
2020-03-06,1,0,17,1,<1
2020-03-07,1,<1,21,1,<1
2020-03-08,1,<1,21,2,<1
2020-03-09,1,<1,31,1,<1
2020-03-10,1,1,31,1,<1
2020-03-11,1,1,56,1,1
2020-03-12,1,1,100,2,1
2020-03-13,1,2,84,2,2
2020-03-14,1,2,68,2,1
2020-03-15,1,2,94,2,2
2020-03-16,2,4,79,2,3
2020-03-17,1,2,77,2,2
2020-03-18,<1,4,74,2,3
2020-03-19,1,3,72,3,3
2020-03-20,1,5,74,3,4
2020-03-21,1,4,74,4,3
2020-03-22,1,5,72,4,2
2020-03-23,1,6,69,5,2
2020-03-24,1,6,64,4,2
2020-03-25,1,6,62,3,2
2020-03-26,1,7,60,3,1
2020-03-27,1,6,58,3,1
2020-03-28,1,5,51,3,1
2020-03-29,1,5,49,2,1
2020-03-30,1,6,45,3,2
2020-03-31,1,7,46,4,1
2020-04-01,<1,7,42,5,2
2020-04-02,1,6,43,5,1
2020-04-03,<1,6,54,10,1
2020-04-04,1,6,59,14,2
