Category: All categories

Day,cough: (Utah),covid - 19: (Arizona),coronavirus: (Arizona),mask: (Arizona),quarantine: (Arizona)
2020-01-01,<1,0,0,1,0
2020-01-02,1,0,0,<1,0
2020-01-03,1,0,<1,1,<1
2020-01-04,1,0,0,1,0
2020-01-05,1,0,0,1,0
2020-01-06,<1,0,0,1,0
2020-01-07,<1,0,0,1,0
2020-01-08,<1,0,0,<1,<1
2020-01-09,<1,0,<1,1,<1
2020-01-10,<1,0,0,1,<1
2020-01-11,1,0,0,1,<1
2020-01-12,<1,0,0,1,<1
2020-01-13,<1,0,0,1,0
2020-01-14,<1,0,0,<1,0
2020-01-15,1,0,0,1,0
2020-01-16,<1,0,0,1,0
2020-01-17,1,0,<1,<1,<1
2020-01-18,1,0,<1,1,<1
2020-01-19,<1,0,<1,1,<1
2020-01-20,1,0,<1,1,0
2020-01-21,1,0,3,1,<1
2020-01-22,1,0,4,1,<1
2020-01-23,1,0,4,1,<1
2020-01-24,1,0,6,1,<1
2020-01-25,1,0,9,1,<1
2020-01-26,<1,0,21,2,<1
2020-01-27,1,0,27,2,<1
2020-01-28,1,0,17,2,<1
2020-01-29,1,0,16,1,<1
2020-01-30,1,0,12,1,<1
2020-01-31,1,0,12,1,<1
2020-02-01,1,0,9,1,<1
2020-02-02,<1,0,7,1,<1
2020-02-03,1,0,7,1,<1
2020-02-04,1,0,6,1,<1
2020-02-05,1,0,6,1,<1
2020-02-06,1,0,6,1,<1
2020-02-07,1,0,6,1,<1
2020-02-08,1,0,6,2,<1
2020-02-09,<1,0,5,1,<1
2020-02-10,1,0,5,1,<1
2020-02-11,1,<1,5,1,<1
2020-02-12,1,0,4,1,<1
2020-02-13,1,<1,5,1,0
2020-02-14,<1,<1,5,1,<1
2020-02-15,1,<1,3,1,<1
2020-02-16,1,<1,4,1,<1
2020-02-17,<1,<1,4,1,<1
2020-02-18,<1,<1,4,1,<1
2020-02-19,1,0,3,1,<1
2020-02-20,1,0,3,1,<1
2020-02-21,1,<1,3,1,<1
2020-02-22,<1,<1,3,1,<1
2020-02-23,1,0,5,1,0
2020-02-24,<1,<1,7,1,<1
2020-02-25,1,0,9,2,<1
2020-02-26,<1,<1,13,3,<1
2020-02-27,<1,<1,16,3,<1
2020-02-28,1,<1,17,3,<1
2020-02-29,1,<1,18,2,<1
2020-03-01,1,<1,14,2,<1
2020-03-02,<1,<1,19,2,<1
2020-03-03,<1,<1,19,1,<1
2020-03-04,<1,<1,18,2,<1
2020-03-05,1,<1,23,1,<1
2020-03-06,1,<1,27,2,<1
2020-03-07,<1,<1,25,1,<1
2020-03-08,1,<1,23,1,<1
2020-03-09,1,1,30,1,1
2020-03-10,1,1,33,1,1
2020-03-11,<1,1,44,1,<1
2020-03-12,1,2,88,2,1
2020-03-13,1,3,84,3,3
2020-03-14,1,3,74,2,2
2020-03-15,2,3,100,2,2
2020-03-16,2,3,100,2,5
2020-03-17,1,5,94,2,4
2020-03-18,1,5,87,2,3
2020-03-19,1,5,80,2,4
2020-03-20,1,6,81,3,4
2020-03-21,1,5,84,4,4
2020-03-22,1,5,80,4,3
2020-03-23,1,6,79,4,3
2020-03-24,1,6,71,3,2
2020-03-25,1,6,71,3,2
2020-03-26,1,6,70,4,2
2020-03-27,1,7,68,3,2
2020-03-28,1,8,64,4,2
2020-03-29,1,6,65,4,2
2020-03-30,<1,7,64,3,3
2020-03-31,1,8,59,5,3
2020-04-01,1,7,52,6,2
2020-04-02,1,7,51,8,2
2020-04-03,1,7,60,10,1
